id,in_drug,nass_active,nass_tested,ncpd_active,ncpd_tested,ncpd_total,nsam_active,nsam_tested,nsub_active,nsub_tested,nsub_total,prank,pscore,scafsmi,scaftree
1523,False,86,239,8,8,8,238,1212,8,8,8,4,3089.0,"O=c1nc2[nH]ncnc2c(=O)[nH]1","1523"
19736,False,108,239,19,19,20,319,2711,21,21,24,5,2868.0,"O=C1c2ccccc2c2c3c1cccc3no2","19736"
1942,False,42,201,10,10,10,62,1466,10,11,11,570,355.0,"O=c1oc2ccccc2cc1c1nc2c([nH]1)cccc2","1942:(105,15)"
18891,False,164,322,268,310,316,1165,50268,279,402,485,235,567.0,"c1ccc2c(c1)nc1c(n2)cc[nH]1","18891"
932,False,160,297,103,120,126,640,15584,103,121,131,35,1246.0,"N=C1C=CC(=O)C=C1","932"
3328,False,75,226,32,32,32,487,5227,35,42,45,26,1469.0,"c1coc(c1)c1nc2ccccc2nc1c1ccco1","3328:(219,3329:(187,219))"
21241,False,46,212,28,40,50,107,4656,28,45,64,1759,172.0,"c1ccc(cc1)C1=Nn2c(SC1)nnc2c1ccccc1","21241:(21242:(7082),7083:(7082))"
10603,False,68,226,18,20,20,122,3281,20,23,23,280,523.0,"c1csc(c1)c1ccc2c(n1)scc2","10603:(322,5357)"
2575,False,133,294,207,318,340,673,50192,214,351,445,1005,248.0,"c1nn2c(s1)nnc2","2575"
90249,False,130,251,78,96,96,493,14180,79,100,107,82,885.0,"c1ccc(cc1)C=Cc1nc2c([nH]1)cccc2","90249:(105)"
1717,False,211,332,648,1162,1187,2145,174198,651,1199,1359,737,298.0,"O=C1NC(=O)C(=C)C(=O)N1","1717"
7582,False,110,277,121,177,182,337,28522,123,194,221,1462,194.0,"c1ccc2c(c1)oc1c2ncnc1","7582"
8268,False,110,278,147,247,253,377,34302,147,260,301,1953,161.0,"c1ccc2c(c1)[nH]c1c2nncn1","8268"
6709,False,62,225,63,88,88,194,15251,66,106,118,2576,130.0,"c1ccc(cc1)c1cn2c(n1)scc2","6709:(6710)"
702,True,149,305,340,1001,1030,728,146538,344,1042,1183,6349,54.0,"c1ccn2c(n1)ncn2","702"
40461,False,44,169,5,5,5,98,615,5,5,5,36,1242.0,"O=C(Nc1cccnc1)C=CS(=O)Cc1ccccc1","40461:(18)"
26434,True,143,262,46,48,48,713,5839,49,51,63,1,3899.0,"O=C1C=CC(=N)c2c1cccc2","26434"
103308,False,5,145,1,1,1,5,165,1,1,1,22453,8.0,"N=c1sccn1N=Cc1ccccc1","103308:(5294)"
72725,False,62,226,12,12,12,105,2113,12,12,12,170,663.0,"c1csc(n1)Nc1nc2c(s1)cccc2","72725:(339,63)"
9632,False,142,303,321,370,451,1473,47114,339,437,617,111,772.0,"N=c1ccc2c([nH]1)nc1n(c2=O)cccc1","9632"
22813,False,50,205,57,57,57,491,10743,78,101,103,311,494.0,"O=C1CCC=C2N1CNCS2","22813"
41353,False,75,242,53,58,59,262,10624,58,76,85,572,354.0,"c1ccc(cc1)c1n[nH]c2c1ccs2","41353:(9262)"
992,True,61,229,72,88,88,215,12841,72,93,99,1353,207.0,"c1ccc(cc1)n1nc2c(n1)cccc2","992:(816)"
