id_new,pscore_new,sTested_new,sActive_new,aTested_new,aActive_new,wTested_new,wActive_new,id_old,pscore_old,sTested_old,sActive_old,aTested_old,aActive_old,wTested_old,wActive_old,smiles
7697,395,45,45,802,165,26160,969,7697,457,45,43,510,92,12381,606,"c1ccc(nc1)Nc1scc(n1)c1ccccc1"
35356,291,6,6,634,98,3883,237,35356,300,6,6,343,52,2121,142,"O=C(c1ccccn1)Nc1nc2c(s1)cccc2"
23887,529,286,268,804,413,169896,3375,23887,387,286,241,512,219,87308,1607,"S=C1NC(=O)C(=C)C(=O)N1"
28861,368,29,28,710,192,18894,563,28861,337,29,28,419,104,10265,299,"C=C1NC(=O)N(C1=O)c1ccccc1"
4787,667,24,22,809,193,13061,819,4787,599,24,21,517,112,7544,465,"N1CCN(CC1)Cc1ccc2c(c1)nccc2"
35605,514,22,22,693,191,13315,551,35605,449,22,21,401,99,6990,294,"S=C1NC(=O)C(=Cc2c[nH]cc2)S1"
35773,516,107,105,815,355,71624,1584,35773,427,107,95,523,207,40019,842,"C=C1Cc2c(N1)cccc2"
92678,351,70,69,709,238,39286,829,92678,326,70,61,417,135,18197,412,"O=C(c1ccccc1)NNC=C1C=CC(=O)C=C1"
26873,721,80,80,815,268,45483,1849,26873,545,80,71,523,149,21654,822,"c1ccc(nc1)c1cscn1"
35592,930,60,60,708,260,34689,1760,35592,808,60,58,416,143,17602,843,"S=C1NC(=O)C(=Cc2ccco2)S1"
94,578,6075,5253,815,734,3405965,44926,94,468,6075,4198,523,453,1752985,23021,"c1ccc2c(c1)nccc2"
78494,412,49,48,710,253,28072,671,78494,361,49,43,419,136,14853,374,"c1ccc(cc1)C=Cc1nc2c(s1)cccc2"
1360,564,3,3,562,120,1194,191,1360,442,3,3,336,62,681,99,"O=C1CCOc2c1cc1cccc(c1c2)c1cccc2c1cc1OCCC(=O)c1c2"
102,461,57,56,692,234,28661,812,102,425,57,51,401,119,12703,413,"O=c1c2ccccc2[nH]c2c1cccc2"
5294,512,237,211,815,423,149431,2983,5294,455,237,198,523,237,79258,1621,"N=c1scc[nH]1"
1503,318,362,306,815,357,218623,3365,1503,368,362,289,523,223,128567,2356,"c1ccc(cc1)c1ncno1"
29552,599,14,14,689,136,8892,648,29552,409,14,14,398,67,4663,272,"O=C1NC(=O)C(=CC=Cc2ccco2)C(=O)N1"
95205,1507,6,6,582,162,2741,540,95205,1150,6,6,312,76,1664,294,"O=C1C(=CC(=NS(=O)(=O)c2ccccc2)c2c1cccc2)Sc1ncn[nH]1"
3201,798,1108,1045,815,587,610432,12778,3201,603,1108,887,523,329,293925,5924,"S=C1NC(=O)C(=C)S1"
24268,301,221,220,813,257,139012,2400,24268,335,221,210,521,158,76985,1528,"O=C(c1ccccc1)Nc1nnco1"
35670,473,41,40,689,218,22723,727,35670,368,41,38,397,106,10632,329,"S=C1SC(=C)C(=O)N1Cc1ccccc1"
38579,566,11,11,708,150,6773,455,38579,465,11,11,416,82,3625,214,"O=C1ON=CC1=Cc1ccc(o1)c1ccccc1"
42567,418,14,14,657,162,9426,391,42567,395,14,14,366,83,5096,220,"O=C1N=c2sccn2C(=N)C1=Cc1ccco1"
81171,410,4,4,680,120,2886,251,81171,310,4,4,397,61,1689,127,"c1ccc2c(c1)c1ccccc1C12NNCC1"
92650,427,42,42,692,231,24885,660,92650,369,42,38,400,111,12372,374,"O=C1C=CC=CC1=CNNc1ccccc1"
96379,1420,14,14,710,209,7459,865,96379,913,14,12,418,107,3814,381,"O=C1C=CC(=NS(=O)(=O)c2cccs2)c2c1cccc2"
1019,298,59,53,815,218,34862,815,1019,325,59,51,523,130,19741,531,"O=C(c1cccs1)Nc1nccs1"
36107,415,25,24,691,205,15153,482,36107,421,25,22,399,126,8674,284,"N=C1NC(=O)C(=Cc2ccco2)S1"
24925,547,87,87,692,295,52525,1340,24925,428,87,77,400,155,26401,648,"C=C1SC(=NC1=O)Nc1ccccc1"
219,436,27748,22133,815,782,15504341,157013,219,395,27748,17851,523,494,8269953,90245,"c1ccco1"
810,549,197,184,807,345,112860,2816,810,494,197,162,515,196,62472,1696,"c1ccc(cc1)c1nc2c(s1)cccc2"
94274,277,5,5,754,110,3205,198,94274,317,5,5,466,71,1890,124,"O=C1C=CC(=CC1=C)Cc1ccccc1"
3465,805,1386,1297,815,637,791315,15494,3465,696,1386,1136,523,377,414740,8212,"c1ccc(cc1)c1ccco1"
3632,835,49,47,813,263,23557,1215,3632,569,49,38,521,139,11102,559,"O=S(=O)(c1ccccc1)Nc1cccc2c1cccc2"
105815,339,5,5,689,107,3318,244,105815,309,5,5,411,60,1900,134,"c1coc(c1)SCc1ccco1"
863,961,43,41,735,262,20263,1161,863,690,43,37,443,130,8695,474,"O=C1C=Cc2c(C1=O)cccc2"
77821,431,10,8,786,141,3968,313,77821,349,10,7,495,79,1927,158,"O=C1c2ccccc2c2c3c1ccc(c3no2)N1CCNCC1"
2802,573,195,188,712,367,110545,2451,2802,511,195,161,420,198,54347,1341,"c1ccc(cc1)NN=Cc1ccccc1"
3770,542,6,6,701,137,3318,293,3770,301,6,5,410,62,1835,140,"O=C1C(=CC(=O)c2c1cccc2)Cc1ccccc1"
8130,368,131,130,814,264,83963,1748,8130,350,131,123,522,159,49498,1043,"c1scc(n1)c1cncs1"
19736,2023,23,21,814,349,11488,1230,19736,2030,23,20,522,215,6656,742,"O=C1c2ccccc2c2c3c1cccc3no2"
28620,414,8,8,688,119,5526,366,28620,346,8,8,397,61,3077,192,"O=C1NC(=S)NC1=Cc1ccc(cc1)N1CCCC1"
49943,906,12,10,711,168,4567,549,49943,503,12,7,419,86,2561,279,"O=C1C=CC(=NOS(=O)(=O)c2ccccc2)C=C1"
567,542,9,9,656,145,5132,352,567,304,9,9,365,57,2711,152,"O=C(c1ccccc1)NC1=CC(=O)c2c(C1=O)cccc2"
92638,970,1033,978,815,606,608392,14925,92638,830,1033,888,523,342,311722,7745,"C=C1C=CC=CC1=O"
8,684,79,78,712,326,44815,1338,8,613,79,70,420,177,21562,685,"c1ccc2c(c1)nc1c(c2)cccc1"
3328,1113,45,41,813,256,22565,1686,3328,896,45,36,521,150,14107,998,"c1coc(c1)c1nc2ccccc2nc1c1ccco1"
18891,761,453,386,815,467,223623,6235,18891,704,453,322,523,291,136192,4099,"c1ccc2c(c1)nc1c(n2)cc[nH]1"
42641,666,6,6,705,155,4126,381,42641,603,6,6,414,84,2358,212,"O=C(c1coc2c1C(=O)C(=O)c1c2cccc1)c1ccccc1"
1942,543,11,11,798,184,6506,367,1942,684,11,11,507,120,3511,234,"O=c1oc2ccccc2cc1c1nc2c([nH]1)cccc2"
10603,463,23,23,811,215,14311,512,10603,397,23,20,519,132,8612,300,"c1csc(c1)c1ccc2c(n1)scc2"
2297,276,190,167,815,327,120310,1701,2297,320,190,157,523,208,70886,1177,"C1CCc2c(C1)scn2"
68390,758,10,10,685,166,4144,360,68390,434,10,7,415,89,2398,188,"O=C1C=CCc2c1cccc2"
110114,631,22,20,489,111,10323,854,110114,357,22,20,200,40,4098,274,"O=C(c1ccnc(n1)S(=O)(=O)Cc1ccccc1)Nc1ccccc1"
5840,431,74,73,710,236,43266,1126,5840,407,74,70,418,142,22267,548,"O=C1NN(C(=O)C1=C)c1ccccc1"
93879,624,14,13,649,172,6298,409,93879,450,14,11,358,89,3046,187,"S=C(Nc1ccccc1)NNC=C1C=CC=CC1=O"
97517,366,10,10,565,138,5395,238,97517,344,10,10,274,65,2234,110,"O=C1C=CC(=CNNc2ccnc3c2cccc3)C=C1"
7669,338,177,155,814,297,100408,1926,7669,393,177,146,522,174,53158,1301,"O=C(c1ccccc1)C=CNc1ccccc1"
19515,569,15,14,807,155,5261,392,19515,518,15,12,515,96,3176,246,"O=C(c1ccccc1)Nc1cc2c([nH]1)nc1c(n2)cccc1"
23713,272,3,3,738,89,1800,185,23713,422,3,3,509,73,1480,167,"O=C1NC(=O)C=CC1=Nc1ccccc1"
23806,348,35,35,712,181,21616,614,23806,311,35,32,420,104,11475,321,"O=C1NC(=O)C(=Cc2ccco2)N1"
24136,510,143,136,814,266,69059,2067,24136,363,143,118,522,142,32783,918,"c1coc(c1)c1ccc2c(n1)cccc2"
283,790,130,124,793,400,73234,2218,283,577,130,114,501,209,39061,1082,"O=C1c2ccccc2C(=O)c2c1cccc2"
794,1385,5,5,707,203,2523,431,794,1253,5,5,415,110,1318,226,"O=C1C(=O)c2ccccc2c2c1cccc2"
932,979,126,120,789,431,71202,2481,932,745,126,100,497,237,36554,1269,"N=C1C=CC(=O)C=C1"
34603,282,20,19,703,147,11071,354,34603,318,20,18,411,87,5968,222,"O=C1C=CC(=C)C(=O)N1"
914,554,276,254,814,430,163406,3350,914,502,276,217,522,253,90356,2022,"c1ccc(cc1)c1nc2c([nH]1)cccc2"
1296,387,181,161,815,384,106998,1788,1296,384,181,141,523,233,59131,1118,"c1csc(c1)c1cscn1"
96380,2201,26,26,711,258,13548,1775,96380,1629,26,24,419,135,6289,741,"O=C1C(=CC(=N)c2c1cccc2)Nc1ccccc1"
35942,414,139,129,714,368,84096,1408,35942,341,139,110,422,207,46464,770,"N=C1NC(=O)C(=C)S1"
2508,558,494,460,815,487,283524,5086,2508,488,494,383,523,284,152284,2979,"c1ccc(cc1)Nc1nccs1"
4301,504,5,5,474,104,2337,239,4301,440,5,5,190,44,812,102,"O=C1C=CC(=O)c2c1ccc1c2[nH]c2c1cccc2"
7806,773,2,2,743,178,1222,247,7806,1194,2,2,507,142,917,209,"O=c1nc2[nH]nc(nc2c(=O)[nH]1)c1ccccc1"
21859,552,17,16,808,141,7097,532,21859,419,17,13,516,86,4609,318,"O=S(=O)(c1nnco1)Cc1ccccc1"
41501,442,8,7,707,141,5076,355,41501,390,8,7,415,76,2664,180,"O=S(=O)(c1cnns1)c1ccccc1"
42503,500,2,2,557,121,922,174,42503,322,2,2,299,54,551,84,"O=S(=O)(c1ccccc1)Nc1cc(Sc2ncn[nH]2)cc2c1cccc2"
